FIPS,Code,Name,Type,Year,Population,Median Household Income,Population Source,Median Household Income Source
1,AL,Alabama,state,2010,4785579,40474,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
2,AK,Alaska,state,2010,714015,64576,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
4,AZ,Arizona,state,2010,6407002,46789,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
5,AR,Arkansas,state,2010,2921737,38307,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
6,CA,California,state,2010,37327690,57708,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
8,CO,Colorado,state,2010,5048029,54046,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
9,CT,Connecticut,state,2010,3580171,64032,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
10,DE,Delaware,state,2010,899712,55847,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
11,DC,District of Columbia,district,2010,605040,60903,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
12,FL,Florida,state,2010,18846461,44409,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
13,GA,Georgia,state,2010,9712696,46430,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
15,HI,Hawaii,state,2010,1363817,63030,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
16,ID,Idaho,state,2010,1570912,43490,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
