CGAC AGENCY CODE,FPDS DEPARTMENT ID,AGENCY NAME,AGENCY ABBREVIATION,REGISTERED IN BROKER,REGISTERED IN ASP,ORIGINAL SOURCE FOR CGAC or SubTier,SUBTIER CODE,SUBTIER NAME,SUBTIER ABBREVIATION,FREC,FREC Entity Description,SubTierAcronymSource,SubTier appears in data in FPDS or ASP?,REGISTERED IN ASP.1,AGENCY NAME (ORIGINAL),SUBTIER NAME (ORIGINAL),COMMENT,IS FREC,MISSION,WEBSITE,ICON FILENAME
002,0000,The Legislative Branch,,NO,NO,OMB File,0000,The Legislative Branch,,0000,Non - Reporting,,,,,,,False,,,
002,0000,The Legislative Branch,,NO,NO,OMB File,0001,"Congress, Generally, No Additional Specification Available",,0000,Non - Reporting,,,,,,,False,,,
002,0000,The Legislative Branch,,NO,NO,OMB File,0099,Joint House and Senate Entities,,0000,Non - Reporting,,,,,,,False,,,
002,0000,The Legislative Branch,,NO,NO,OMB File,0363,Federal Library and Information Center Committee,FLICC,0000,Non - Reporting,,,,,,,False,,,
002,0000,The Legislative Branch,,NO,NO,OMB File,0962,Permanent Committee for the Oliver Wendell Holmes Devise,,0000,Non - Reporting,,,,,,,False,,,
000,0010,U.S. Congress,,NO,NO,OMB File,0010,The Senate,,0000,Non - Reporting,,,,THE SENATE,,,False,,,
000,0050,U.S. Congress,,NO,NO,OMB File,0050,The House of Representatives,,0000,Non - Reporting,,,,THE HOUSE OF REPRESENTATIVES,,,False,,,
001,0100,Architect of the Capitol,AOC,NO,NO,OMB File,0100,Architect of the Capitol,AOC,0100,Architect of the Capitol,,,,,,,False,,,
003,0300,Library of Congress,LOC,NO,NO,OMB File,0300,Library of Congress,LOC,0300,Library of Congress,GPO Acronym List,,,,,,False,,,
003,0300,Library of Congress,LOC,NO,NO,OMB File,0361,Library of Congress Trust Fund Board,,0300,Library of Congress,,,,,,,False,,,
003,0300,Library of Congress,LOC,NO,NO,OMB File,0362,Permanent Committee for the Oliver Wendell Holmes Devise,,0300,Library of Congress,,,,,,,False,,,
004,0400,Government Publishing Office,GPO,NO,NO,OMB File,0400,Government Publishing Office,GPO,0400,Government Publishing Office,,,,GOVERNMENT PRINTING OFFICE,GOVERNMENT PRINTING OFFICE,Changed to match new name (per a-11 and GPO website),False,,,
