CGAC AGENCY CODE,FPDS DEPARTMENT ID,AGENCY NAME,AGENCY ABBREVIATION,SUBTIER CODE,SUB TIER NAME
TST,,Test Agency,TEST,,Test Agency
2,0,The Legislative Branch,LEG BRANCH,0,The Legislative Branch
2,0,The Legislative Branch,LEG BRANCH,1,"Congress, Generally, No Additional Specification Available"
2,0,The Legislative Branch,LEG BRANCH,99,Joint House and Senate Entities
2,0,The Legislative Branch,LEG BRANCH,363,Federal Library & Information Center Committee
2,0,The Legislative Branch,LEG BRANCH,904,Office of Compliance
2,0,The Legislative Branch,LEG BRANCH,929,U.S. Capitol Preservation Commission
2,0,The Legislative Branch,LEG BRANCH,962,Permanent Committee for the Oliver Wendell Holmes Devise
0,10,U.S. Congress,CONGRESS,10,The Senate
0,50,U.S. Congress,CONGRESS,50,The House of Representatives
1,100,Architect of the Capitol,AOC,100,Architect of the Capitol
3,300,Library of Congress,LOC,300,Library of Congress
3,300,Library of Congress,LOC,361,Library of Congress Trust Fund Board
3,300,Library of Congress,LOC,362,Permanent Committee for the Oliver Wendell Holmes Devise
4,400,Government Publishing Office,GPO,400,Government Publishing Office
5,500,Government Accountability Office,GAO,500,Government Accountability Office
5,500,Government Accountability Office,GAO,501,Comptroller General of the United States
5,500,Government Accountability Office,GAO,559,"GAO, Except Comptroller General"
8,800,Congressional Budget Office,CBO,800,Congressional Budget Office
9,900,Legislative Branch Boards and Commissions,LEG ORGS,900,Legislative Branch Boards and Commissions
9,902,Legislative Branch Boards and Commissions,LEG ORGS,902,Botanic Garden
9,945,Legislative Branch Boards and Commissions,LEG ORGS,945,Open World Leadership Center
9,945,Legislative Branch Boards and Commissions,LEG ORGS,901,Commission on Security and Cooperation In Europe
9,945,Legislative Branch Boards and Commissions,LEG ORGS,905,Dwight D. Eisenhower Memorial Commission
9,945,Legislative Branch Boards and Commissions,LEG ORGS,911,Commission on Agricultural Workers
9,945,Legislative Branch Boards and Commissions,LEG ORGS,914,John C. Stennis Center for Public Service Training and Development
9,945,Legislative Branch Boards and Commissions,LEG ORGS,915,Advisory Commission on Electronic Commerce
9,945,Legislative Branch Boards and Commissions,LEG ORGS,916,National Commission on Terrorism
9,945,Legislative Branch Boards and Commissions,LEG ORGS,973,National Commission on Terrorist Attacks Upon the United States
9,945,Legislative Branch Boards and Commissions,LEG ORGS,975,Commission on the Review of the Overseas Military Facility Structure of the United States
9,945,Legislative Branch Boards and Commissions,LEG ORGS,977,Antitrust Modernization Commission
10,1000,The Judicial Branch,JUD BRANCH,1000,The Judicial Branch
10,1000,The Judicial Branch,JUD BRANCH,1030,United States Sentencing Commission
10,1001,The Judicial Branch,JUD BRANCH,1001,Supreme Court of the United States
10,1001,The Judicial Branch,JUD BRANCH,1050,Chief Justice of the United States
