CGAC AGENCY CODE,FPDS DEPARTMENT ID,FREC,AGENCY NAME,AGENCY ABBREVIATION,REGISTERED IN BROKER,REGISTERED IN ASP,ORIGINAL SOURCE FOR CGAC or SubTier,SUBTIER CODE,SUBTIER NAME,SUBTIER ABBREVIATION,FREC DESCRIPTION,REGISTERED IN ASP,AGENCY NAME (ORIGINAL),SUBTIER NAME (ORIGINAL),MISSION,WEBSITE,ICON FILENAME,COMMENT
000,0050,,U.S. Congress,CONGRESS,NO,NO,OMB File,0050,The House of Representatives,,Non - Reporting,,THE HOUSE OF REPRESENTATIVES,,,,,
000,0050,,U.S. Congress,CONGRESS,NO,NO,OMB File,0050,The House of Representatives,,Non - Reporting,,THE HOUSE OF REPRESENTATIVES,,,,,
001,0100,0100,Architect of the Capitol,AOC,NO,NO,OMB File,0100,Architect of the Capitol,AOC,Architect of the Capitol,,,,,,,
002,0000,,The Legislative Branch,LEG BRANCH,NO,NO,OMB File,0962,Permanent Committee for the Oliver Wendell Holmes Devise,,Non - Reporting,,,,,,,
002,0000,,The Legislative Branch,LEG BRANCH,NO,NO,OMB File,0962,Permanent Committee for the Oliver Wendell Holmes Devise,,Non - Reporting,,,,,,,
002,0000,,The Legislative Branch,LEG BRANCH,NO,NO,OMB File,0962,Permanent Committee for the Oliver Wendell Holmes Devise,,Non - Reporting,,,,,,,
002,0000,,The Legislative Branch,LEG BRANCH,NO,NO,OMB File,0962,Permanent Committee for the Oliver Wendell Holmes Devise,,Non - Reporting,,,,,,,
002,0000,,The Legislative Branch,LEG BRANCH,NO,NO,OMB File,0962,Permanent Committee for the Oliver Wendell Holmes Devise,,Non - Reporting,,,,,,,
003,0300,0300,Library of Congress,LOC,NO,NO,OMB File,0362,Permanent Committee for the Oliver Wendell Holmes Devise,,Library of Congress,,,,,,,
003,0300,0300,Library of Congress,LOC,NO,NO,OMB File,0362,Permanent Committee for the Oliver Wendell Holmes Devise,,Library of Congress,,,,,,,
003,0300,0300,Library of Congress,LOC,NO,NO,OMB File,0362,Permanent Committee for the Oliver Wendell Holmes Devise,,Library of Congress,,,,,,,
004,0400,0400,Government Publishing Office,GPO,NO,NO,OMB File,0400,Government Publishing Office,GPO,Government Publishing Office,,GOVERNMENT PRINTING OFFICE,GOVERNMENT PRINTING OFFICE,,,,
005,0500,0500,Government Accountability Office,GAO,YES,NO,OMB File,0559,"GAO, Except Comptroller General",,Government Accountability Office,,,,,,,
005,0500,0500,Government Accountability Office,GAO,YES,NO,OMB File,0559,"GAO, Except Comptroller General",,Government Accountability Office,,,,,,,
005,0500,0500,Government Accountability Office,GAO,YES,NO,OMB File,0559,"GAO, Except Comptroller General",,Government Accountability Office,,,,,,,
008,0800,0800,Congressional Budget Office,CBO,NO,NO,OMB File,0800,Congressional Budget Office,CBO,Congressional Budget Office,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
