Master Broker List (Ross's List),,,,,,Matched Information Present in Broker Generated Agency Name and Code List,,
CGAC.AGENCY.CODE,SUBTIER.CODE,AGENCY.NAME,ORIGINAL.SOURCE.FOR.CGAC.or.SubTier,SUBTIER.NAME,listsource.x,awarding_agency_name,awarding_sub_tier_agency_n,listsource.y
0,10,U.S. Congress,OMB File,The Senate,CompiledList,NA,NA,NA
0,50,U.S. Congress,OMB File,The House of Representatives,CompiledList,NA,NA,NA
1,100,Architect of the Capitol,OMB File,Architect of the Capitol,CompiledList,NA,NA,NA
2,0,The Legislative Branch,OMB File,The Legislative Branch,CompiledList,NA,NA,NA
2,1,The Legislative Branch,OMB File,"Congress, Generally, No Additional Specification Available",CompiledList,NA,NA,NA
2,99,The Legislative Branch,OMB File,Joint House and Senate Entities,CompiledList,NA,NA,NA
2,363,The Legislative Branch,OMB File,Federal Library and Information Center Committee,CompiledList,NA,NA,NA
2,962,The Legislative Branch,OMB File,Permanent Committee for the Oliver Wendell Holmes Devise,CompiledList,NA,NA,NA
3,300,Library of Congress,OMB File,Library of Congress,CompiledList,NA,NA,NA
3,361,Library of Congress,OMB File,Library of Congress Trust Fund Board,CompiledList,NA,NA,NA
3,362,Library of Congress,OMB File,Permanent Committee for the Oliver Wendell Holmes Devise,CompiledList,NA,NA,NA
4,400,Government Publishing Office,OMB File,Government Publishing Office,CompiledList,NA,NA,NA
5,500,Government Accountability Office,OMB File,Government Accountability Office,CompiledList,NA,NA,NA
5,501,Government Accountability Office,OMB File,Comptroller General of the United States,CompiledList,NA,NA,NA
5,559,Government Accountability Office,OMB File,"GAO, Except Comptroller General",CompiledList,NA,NA,NA
8,800,Congressional Budget Office,OMB File,Congressional Budget Office,CompiledList,NA,NA,NA
9,900,Legislative Branch Boards and Commissions,Historical USAspending data,Legislative Branch Boards and Commissions,CompiledList,NA,NA,NA
9,901,Legislative Branch Boards and Commissions,NIST (2008),Commission on Security and Cooperation In Europe ,CompiledList,NA,NA,NA
9,902,Legislative Branch Boards and Commissions,OMB File,Botanic Garden,CompiledList,NA,NA,NA
9,904,Legislative Branch Boards and Commissions,OMB File,Office of Compliance,CompiledList,NA,NA,NA
9,911,Legislative Branch Boards and Commissions,Historical USAspending data,Commission on Agricultural Workers,CompiledList,NA,NA,NA
9,914,Legislative Branch Boards and Commissions,NIST (2008),John C. Stennis Center for Public Service Training and Development ,CompiledList,NA,NA,NA
9,915,Legislative Branch Boards and Commissions,NIST (2008),Advisory Commission on Electronic Commerce,CompiledList,NA,NA,NA
9,916,Legislative Branch Boards and Commissions,NIST (2008),National Commission on Terrorism,CompiledList,NA,NA,NA
9,929,Legislative Branch Boards and Commissions,OMB File,U.S. Capitol Preservation Commission,CompiledList,NA,NA,NA
9,945,Legislative Branch Boards and Commissions,OMB File,Open World Leadership Center,CompiledList,NA,NA,NA
9,973,Legislative Branch Boards and Commissions,NIST (2008),National Commission on Terrorist Attacks Upon the United States,CompiledList,NA,NA,NA
9,975,Legislative Branch Boards and Commissions,NIST (2008),Commission on the Review of the Overseas Military Facility Structure of the United States,CompiledList,NA,NA,NA
9,977,Legislative Branch Boards and Commissions,NIST (2008),Antitrust Modernization Commission,CompiledList,NA,NA,NA
10,1000,The Judicial Branch,OMB File,The Judicial Branch,CompiledList,NA,NA,NA
10,1001,The Judicial Branch,OMB File,Supreme Court of the United States,CompiledList,NA,NA,NA
10,1002,The Judicial Branch,OMB File,U.S. Courts of Appeals-Judicial Circuits (Except Federal Circuit),CompiledList,NA,NA,NA
10,1003,The Judicial Branch,OMB File,U.S. Court of Appeals for the Federal Circuit,CompiledList,NA,NA,NA
10,1004,The Judicial Branch,OMB File,U.S. Court of International Trade,CompiledList,NA,NA,NA
10,1005,The Judicial Branch,NIST (2008),U.S. Court of Federal Claims,CompiledList,NA,NA,NA
10,1012,The Judicial Branch,NIST (2008),U.S. District and Territorial Courts,CompiledList,NA,NA,NA
10,1018,The Judicial Branch,NIST (2008),U.S. Judicial Panel on Multidistrict Litigation ,CompiledList,NA,NA,NA
10,1019,The Judicial Branch,Historical USAspending data,Temporary Emergency Court of Appeals,CompiledList,NA,NA,NA
10,1021,The Judicial Branch,NIST (2008),Bankruptcy Courts,CompiledList,NA,NA,NA
10,1023,The Judicial Branch,NIST (2008),Federal Public Defenders ,CompiledList,NA,NA,NA
10,1025,The Judicial Branch,NIST (2008),Court Security,CompiledList,NA,NA,NA
10,1027,The Judicial Branch,OMB File,Administrative Office of the U.S. Courts,CompiledList,The Judicial Branch (JUD BRANCH),ADMINISTRATIVE OFFICE OF THE U.S. COURTS,BrokerGenerated
10,1027,The Judicial Branch,OMB File,Administrative Office of the U.S. Courts,CompiledList,The Judicial Branch,1027: ADMINISTRATIVE OFFICE OF THE U.S. COURTS,BrokerGenerated
10,1028,The Judicial Branch,OMB File,Federal Judicial Center,CompiledList,NA,NA,NA
10,1030,The Judicial Branch,OMB File,United States Sentencing Commission,CompiledList,NA,NA,NA
10,1037,The Judicial Branch,Historical USAspending data,Special Rail Reorganization Court,CompiledList,NA,NA,NA
10,1050,The Judicial Branch,OMB File,Chief Justice of the United States,CompiledList,NA,NA,NA
10,1051,The Judicial Branch,OMB File,Associate Justices of the Supreme Court,CompiledList,NA,NA,NA
10,1059,The Judicial Branch,OMB File,"Supreme Court, Except Justices",CompiledList,NA,NA,NA
10,1060,The Judicial Branch,OMB File,Judicial Conference of the United States,CompiledList,NA,NA,NA
11,1100,Executive Office of the President,OMB File,Executive Office of the President,CompiledList,Executive Office of the President,1100: EXECUTIVE OFFICE OF THE PRESIDENT,BrokerGenerated
11,1100,Executive Office of the President,OMB File,Executive Office of the President,CompiledList,Executive Office of the President,EXECUTIVE OFFICE OF THE PRESIDENT,BrokerGenerated
11,1101,Executive Office of the President,OMB File,President of the United States,CompiledList,NA,NA,NA
11,1102,Executive Office of the President,OMB File,National Security Council,CompiledList,NA,NA,NA
11,1103,Executive Office of the President,OMB File,Office of Management and Budget,CompiledList,NA,NA,NA
11,1105,Executive Office of the President,OMB File,Office of Administration,CompiledList,NA,NA,NA
11,1109,Executive Office of the President,OMB File,Office of the United States Trade Representative,CompiledList,NA,NA,NA
11,1110,Executive Office of the President,OMB File,Office of Policy Development,CompiledList,NA,NA,NA
11,1112,Executive Office of the President,OMB File,Office of Science and Technology Policy,CompiledList,NA,NA,NA
11,1113,Executive Office of the President,OMB File,Council of Economic Advisors,CompiledList,NA,NA,NA
11,1117,Executive Office of the President,OMB File,White House Office,CompiledList,NA,NA,NA
11,1118,Executive Office of the President,OMB File,Executive Residence at the White House,CompiledList,NA,NA,NA
11,1119,Executive Office of the President,OMB File,Council on Environmental Quality,CompiledList,NA,NA,NA
11,1120,Executive Office of the President,OMB File,National Critical Materials Council,CompiledList,NA,NA,NA
11,1121,Executive Office of the President,OMB File,"Director, OMB",CompiledList,NA,NA,NA
11,1123,Executive Office of the President,OMB File,White House Conference on Indian Education,CompiledList,NA,NA,NA
11,1127,Executive Office of the President,OMB File,Office of the National Drug Control Policy,CompiledList,Executive Office of the President (EOP),Office of the National Drug Control Policy,BrokerGenerated
11,1127,Executive Office of the President,OMB File,Office of the National Drug Control Policy,CompiledList,Executive Office of the President,Office of National Drug Control Policy,BrokerGenerated
11,1127,Executive Office of the President,OMB File,Office of the National Drug Control Policy,CompiledList,EXECUTIVE OFFICE OF THE PRESIDENT,Office of the National Drug Control Policy,BrokerGenerated
11,1129,Executive Office of the President,OMB File,"OMB, Except Director",CompiledList,NA,NA,NA
11,1130,Executive Office of the President,OMB File,National Space Council,CompiledList,NA,NA,NA
11,1140,Executive Office of the President,OMB File,President's Council on Sustainable Development,CompiledList,NA,NA,NA
11,1141,Executive Office of the President,OMB File,African Development Foundation,CompiledList,Executive Office of the President,African Development Foundation,BrokerGenerated
11,1143,Executive Office of the President,OMB File,Inter-American Foundation,CompiledList,Executive Office of the President,1143: INTER-AMERICAN FOUNDATION,BrokerGenerated
11,1145,Executive Office of the President,OMB File,Peace Corps,CompiledList,Executive Office of the President,1145: PEACE CORPS,BrokerGenerated
11,1145,Executive Office of the President,OMB File,Peace Corps,CompiledList,Executive Office of the President,PEACE CORPS,BrokerGenerated
11,1148,Executive Office of the President,OMB File,Office of Homeland Security,CompiledList,NA,NA,NA
11,1150,Executive Office of the President,OMB File,International Development Cooperation Agency (Excludes OPIC),CompiledList,NA,NA,NA
