ACCT_NUM,ATA,AID,BPOA,EPOA,A,MAIN,SUB,GWA_TAS_NAME,Agency AID,Agency Name,ADMIN_ORG,Admin Org Name,FR Entity Type,FR Entity Description,financial_indicator_type2,FIN_IND_TYP2 description,Function Code,Function Description,Sub Function Code,Sub Function Description,DT_TM_ESTAB,DT_END
53021, ,000,2012,2012, ,0100,000,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011 00:00:00,
56001, ,000,2013,2013, ,0100,000,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012 00:00:00,
59600, ,000,2014,2014, ,0100,000,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2013 00:00:00,
62697, ,000,2015,2015, ,0100,000,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2014 00:00:00,
65987, ,000,2016,2016, ,0100,000,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2015 00:00:00,
69807, ,000,2017,2017, ,0100,000,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2016 00:00:00,
7, ,000, , ,X,0102,000,"Compensation and Mileage of the Vice President and Senators, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987 00:00:00,
8, ,000, , ,X,0107,000,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987 00:00:00,
53022, ,000,2012,2012, ,0107,000,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2011 00:00:00,
56002, ,000,2013,2013, ,0107,000,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/2012 00:00:00,
