award_id,generated_unique_award_id,display_award_id,category,type,type_description,piid,fain,uri,total_obligation,description,award_amount,total_subsidy_cost,total_loan_value,update_date,recipient_name,recipient_unique_id,recipient_hash,recipient_agg_key,parent_recipient_unique_id,business_categories,action_date,fiscal_year,last_modified_date,period_of_performance_start_date,period_of_performance_current_end_date,date_signed,ordering_period_end_date,original_loan_subsidy_cost,face_value_loan_guarantee,awarding_agency_id,funding_agency_id,awarding_toptier_agency_name,funding_toptier_agency_name,awarding_subtier_agency_name,funding_subtier_agency_name,awarding_toptier_agency_code,funding_toptier_agency_code,awarding_subtier_agency_code,funding_subtier_agency_code,funding_toptier_agency_agg_key,funding_subtier_agency_agg_key,recipient_location_country_code,recipient_location_country_name,recipient_location_state_code,recipient_location_county_code,recipient_location_county_name,recipient_location_congressional_code,recipient_location_zip5,recipient_location_city_name,pop_country_code,pop_country_name,pop_state_code,pop_county_code,pop_county_name,pop_zip5,pop_congressional_code,pop_city_name,pop_city_code,cfda_number,cfda_title,cfda_agg_key,sai_number,type_of_contract_pricing,extent_competed,type_set_aside,product_or_service_code,product_or_service_description,naics_code,naics_description,recipient_location_county_agg_key,recipient_location_congressional_agg_key,recipient_location_state_agg_key,pop_county_agg_key,pop_congressional_agg_key,pop_state_agg_key,tas_paths,tas_components,disaster_emergency_fund_codes,total_covid_outlay,total_covid_obligation
8515500,CONT_AWD_8001_9700_HDEC0104G3005_9700,8001,contract,C,DELIVERY ORDER,8001,,,54334454.08,RESALE - ASSORTED GROCERY,54334454.08,0.00,0.00,2019-06-10 00:36:55.283099+00,"PROCTER & GAMBLE DISTRIBUTING LLC, THE",001902212,0f8a52d8-be2c-36ea-cd88-4e1c08ab93a3,"{""name"":""PROCTER & GAMBLE DISTRIBUTING LLC, THE"",""unique_id"":""001902212"",""hash"":""0f8a52d8-be2c-36ea-cd88-4e1c08ab93a3"",""levels"":""{C}""}",001316827,"{category_business,other_than_small_business}",2008-01-31,2008,2019-06-07,2007-12-01,2008-01-31,2008-01-31,,0.00,0.00,1222,1222,Department of Defense,Department of Defense,Defense Commissary Agency,Defense Commissary Agency,097,097,97AZ,97AZ,"{""name"":""Department of Defense"",""code"":""097"",""id"":""1173""}","{""name"":""Defense Commissary Agency"",""code"":""97AZ"",""id"":""1173""}",USA,UNITED STATES,OH,061,HAMILTON,02,45249,CINCINNATI,USA,UNITED STATES,OH,061,HAMILTON,45202,02,CINCINNATI,,,,,,J,B,NONE,8999,FOOD ITEMS FOR RESALE,424410,GENERAL LINE GROCERY MERCHANT WHOLESALERS,"{""country_code"":""USA"",""state_code"":""OH"",""state_fips"":""39"",""county_code"":""061"",""county_name"":""HAMILTON"",""population"":""817473""}","{""country_code"":""USA"",""state_code"":""OH"",""state_fips"":""39"",""congressional_code"":""02"",""population"":""734712""}","{""country_code"":""USA"",""state_code"":""OH"",""state_name"":""Ohio"",""population"":""11689100""}","{""country_code"":""USA"",""state_code"":""OH"",""state_fips"":""39"",""county_code"":""061"",""county_name"":""HAMILTON"",""population"":""817473""}","{""country_code"":""USA"",""state_code"":""OH"",""state_fips"":""39"",""congressional_code"":""02"",""population"":""734712""}","{""country_code"":""USA"",""state_code"":""OH"",""state_name"":""Ohio"",""population"":""11689100""}",,,,,
25072000,CONT_AWD_JC005200004D5JC97617_1630_-NONE-_-NONE-,JC005200004D5JC97617,contract,D,DCA,JC005200004D5JC97617,,,24488385.00,OPERATION OF THE JOLIET JOB CORPS CENTER,24488385.00,0.00,0.00,2018-02-03 18:54:06.983782+00,MANAGEMENT & TRAINING CORPORATION,039203740,1c90df7d-33de-faec-1a30-3c9736dba63d,"{""name"":""MANAGEMENT & TRAINING CORPORATION"",""unique_id"":""039203740"",""hash"":""1c90df7d-33de-faec-1a30-3c9736dba63d"",""levels"":""{C}""}",039203740,"{category_business,other_than_small_business}",2008-04-02,2008,2008-11-14,2000-04-15,2003-09-30,2000-04-15,,0.00,0.00,291,292,Department of Labor,Department of Labor,Employment and Training Administration,Office of Job Corps,1601,1601,1630,1631,"{""name"":""Department of Labor"",""code"":""1601"",""id"":""267""}","{""name"":""Office of Job Corps"",""code"":""1631"",""id"":""267""}",USA,UNITED STATES,UT,,,01,,CENTERVILLE,USA,UNITED STATES,IL,197,WILL,60433,11,JOLIET,,,,,,U,A,,M139,OPER OF GOVT OTHER EDUCATIONAL BLDG,611519,OTHER TECHNICAL AND TRADE SCHOOLS,,"{""country_code"":""USA"",""state_code"":""UT"",""state_fips"":""49"",""congressional_code"":""01"",""population"":""776910""}","{""country_code"":""USA"",""state_code"":""UT"",""state_name"":""Utah"",""population"":""3205958""}","{""country_code"":""USA"",""state_code"":""IL"",""state_fips"":""17"",""county_code"":""197"",""county_name"":""WILL"",""population"":""690743""}","{""country_code"":""USA"",""state_code"":""IL"",""state_fips"":""17"",""congressional_code"":""11"",""population"":""722584""}","{""country_code"":""USA"",""state_code"":""IL"",""state_name"":""Illinois"",""population"":""12671821""}",,,,,
27279500,CONT_AWD_NNM06AB18T_8000_NAS802002_8000,NNM06AB18T,contract,C,DO,NNM06AB18T,,,8939126.00,TASK ORDER 6 FOR MSFC CENTERWIDE ADMINISTRATIVE SERVICES,8939126.00,0.00,0.00,2018-02-03 18:54:06.983782+00,"MAINTHIA TECHNOLOGIES, INC.",963569413,0f1c5428-914a-7de2-0262-18ccd43035bd,"{""name"":""MAINTHIA TECHNOLOGIES, INC."",""unique_id"":""963569413"",""hash"":""0f1c5428-914a-7de2-0262-18ccd43035bd"",""levels"":""{C}""}",963569413,"{category_business,minority_owned_business,self_certified_small_disadvanted_business,small_business,small_disadvantaged_business,special_designations,subcontinent_asian_indian_american_owned_business}",2008-07-23,2008,2008-08-01,2006-09-01,2008-05-31,2006-09-01,,0.00,0.00,862,,National Aeronautics and Space Administration,,National Aeronautics and Space Administration,,080,,8000,,,,USA,UNITED STATES,OH,,,10,,CLEVELAND,USA,UNITED STATES,AL,089,MADISON,35812,05,HUNTSVILLE,,,,,,L,D,8A,R699,SUPPORT- ADMINISTRATIVE: OTHER,561110,OFFICE ADMINISTRATIVE SERVICES,,"{""country_code"":""USA"",""state_code"":""OH"",""state_fips"":""39"",""congressional_code"":""10"",""population"":""725301""}","{""country_code"":""USA"",""state_code"":""OH"",""state_name"":""Ohio"",""population"":""11689100""}","{""country_code"":""USA"",""state_code"":""AL"",""state_fips"":""01"",""county_code"":""089"",""county_name"":""MADISON"",""population"":""372909""}","{""country_code"":""USA"",""state_code"":""AL"",""state_fips"":""01"",""congressional_code"":""05"",""population"":""725634""}","{""country_code"":""USA"",""state_code"":""AL"",""state_name"":""Alabama"",""population"":""4903185""}",,,,,
15072000,CONT_AWD_FA872107F0106_9700_GS35F4668G_4730,FA872107F0106,contract,C,DO,FA872107F0106,,,6427956.92,BRIDGE TO,6427956.92,0.00,0.00,2018-02-03 18:54:06.983782+00,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,004649125,24d20310-1bf3-6cca-6d04-350b65994457,"{""name"":""BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC."",""unique_id"":""004649125"",""hash"":""24d20310-1bf3-6cca-6d04-350b65994457"",""levels"":""{C}""}",217304393,"{category_business,other_than_small_business}",2008-09-30,2008,2009-10-05,2007-07-01,2008-03-31,2007-06-29,,0.00,0.00,1196,1196,Department of Defense,Department of Defense,Department of the Air Force,Department of the Air Force,097,097,5700,5700,"{""name"":""Department of Defense"",""code"":""097"",""id"":""1173""}","{""name"":""Department of the Air Force"",""code"":""5700"",""id"":""1173""}",USA,UNITED STATES,VA,,,10,,HERNDON,USA,UNITED STATES,MA,017,MIDDLESEX,01731,07,HANSCOM AFB,,,,,,S,A,NONE,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541519,OTHER COMPUTER RELATED SERVICES,,"{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""congressional_code"":""10"",""population"":""862308""}","{""country_code"":""USA"",""state_code"":""VA"",""state_name"":""Virginia"",""population"":""8535519""}","{""country_code"":""USA"",""state_code"":""MA"",""state_fips"":""25"",""county_code"":""017"",""county_name"":""MIDDLESEX"",""population"":""1611699""}","{""country_code"":""USA"",""state_code"":""MA"",""state_fips"":""25"",""congressional_code"":""07"",""population"":""820086""}","{""country_code"":""USA"",""state_code"":""MA"",""state_name"":""Massachusetts"",""population"":""6892503""}",,,,,
10599500,CONT_AWD_BF03_9700_N6133906D0015_9700,BF03,contract,C,DELIVERY ORDER,BF03,,,6350419.00,PACKBOT FIDO ROBOTIC SYSTEM,6350419.00,0.00,0.00,2019-09-12 09:20:28.536043+00,IROBOT CORPORATION,807380951,5fda96d8-9bb0-1953-70b0-14c28df89f70,"{""name"":""IROBOT CORPORATION"",""unique_id"":""807380951"",""hash"":""5fda96d8-9bb0-1953-70b0-14c28df89f70"",""levels"":""{C}""}",807380951,"{category_business,small_business}",2008-05-22,2008,2019-09-06,2008-05-22,2008-09-30,2008-05-22,,0.00,0.00,1188,1188,Department of Defense,Department of Defense,Department of the Army,Department of the Army,097,097,2100,2100,"{""name"":""Department of Defense"",""code"":""097"",""id"":""1173""}","{""name"":""Department of the Army"",""code"":""2100"",""id"":""1173""}",USA,UNITED STATES,MA,017,MIDDLESEX,06,01803,BURLINGTON,USA,UNITED STATES,MA,017,MIDDLESEX,02451,07,WALTHAM,,,,,,J,C,NONE,1385,SURFACE USE EXPLOSIVE ORDNANCE DISPOSAL TOOLS AND EQUIPMENT,541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES","{""country_code"":""USA"",""state_code"":""MA"",""state_fips"":""25"",""county_code"":""017"",""county_name"":""MIDDLESEX"",""population"":""1611699""}","{""country_code"":""USA"",""state_code"":""MA"",""state_fips"":""25"",""congressional_code"":""06"",""population"":""780524""}","{""country_code"":""USA"",""state_code"":""MA"",""state_name"":""Massachusetts"",""population"":""6892503""}","{""country_code"":""USA"",""state_code"":""MA"",""state_fips"":""25"",""county_code"":""017"",""county_name"":""MIDDLESEX"",""population"":""1611699""}","{""country_code"":""USA"",""state_code"":""MA"",""state_fips"":""25"",""congressional_code"":""07"",""population"":""820086""}","{""country_code"":""USA"",""state_code"":""MA"",""state_name"":""Massachusetts"",""population"":""6892503""}",,,,,
1362500,CONT_AWD_0022_9700_W91ZLK07D0110_9700,0022,contract,C,DO,0022,,,4029000.00,DATA COLLECTION,4029000.00,0.00,0.00,2018-02-03 18:54:06.983782+00,PERSPECTA AEROSPACE & DEFENSE INC.,147268023,864ac91a-d603-52d8-662a-67164fd2275d,"{""name"":""PERSPECTA AEROSPACE & DEFENSE INC."",""unique_id"":""147268023"",""hash"":""864ac91a-d603-52d8-662a-67164fd2275d"",""levels"":""{C}""}",733131788,"{category_business,other_than_small_business}",2008-09-05,2008,2008-10-03,2007-10-31,2008-09-29,2007-10-31,,0.00,0.00,1188,1188,Department of Defense,Department of Defense,Department of the Army,Department of the Army,097,097,2100,2100,"{""name"":""Department of Defense"",""code"":""097"",""id"":""1173""}","{""name"":""Department of the Army"",""code"":""2100"",""id"":""1173""}",USA,UNITED STATES,MO,,,09,,SAINT CHARLES,USA,UNITED STATES,MD,025,HARFORD,21005,02,ABERDEEN PROVING GROUND,,,,,,Y,A,NONE,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,518210,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",,"{""country_code"":""USA"",""state_code"":""MO"",""state_fips"":""29"",""congressional_code"":""09"",""population"":""""}","{""country_code"":""USA"",""state_code"":""MO"",""state_name"":""Missouri"",""population"":""6137428""}","{""country_code"":""USA"",""state_code"":""MD"",""state_fips"":""24"",""county_code"":""025"",""county_name"":""HARFORD"",""population"":""255441""}","{""country_code"":""USA"",""state_code"":""MD"",""state_fips"":""24"",""congressional_code"":""02"",""population"":""768511""}","{""country_code"":""USA"",""state_code"":""MD"",""state_name"":""Maryland"",""population"":""6045680""}",,,,,
36062000,CONT_AWD_V8YA_9700_W912HZ05D0015_9700,V8YA,contract,C,DO,V8YA,,,2566440.00,SERVER HP.,2566440.00,0.00,0.00,2018-02-03 18:54:06.983782+00,"EYAK TECHNOLOGY, LLC",112710947,6e3625e9-6e09-be6e-b32a-dd8df371e67e,"{""name"":""EYAK TECHNOLOGY, LLC"",""unique_id"":""112710947"",""hash"":""6e3625e9-6e09-be6e-b32a-dd8df371e67e"",""levels"":""{C}""}",006019640,"{8a_program_participant,category_business,minority_owned_business,native_american_owned_business,self_certified_small_disadvanted_business,small_business,small_disadvantaged_business,special_designations}",2008-05-05,2008,2008-05-16,2008-03-05,2008-04-15,2008-03-05,,0.00,0.00,1174,1174,Department of Defense,Department of Defense,Department of the Navy,Department of the Navy,097,097,1700,1700,"{""name"":""Department of Defense"",""code"":""097"",""id"":""1173""}","{""name"":""Department of the Navy"",""code"":""1700"",""id"":""1173""}",USA,UNITED STATES,VA,,,10,,DULLES,USA,UNITED STATES,VA,059,FAIRFAX,20191,08,RESTON,,,,,,NO,B,8AN,7045,INFORMATION TECHNOLOGY SUPPLIES,334111,ELECTRONIC COMPUTER MANUFACTURING,,"{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""congressional_code"":""10"",""population"":""862308""}","{""country_code"":""USA"",""state_code"":""VA"",""state_name"":""Virginia"",""population"":""8535519""}","{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""county_code"":""059"",""county_name"":""FAIRFAX"",""population"":""1147532""}","{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""congressional_code"":""08"",""population"":""795467""}","{""country_code"":""USA"",""state_code"":""VA"",""state_name"":""Virginia"",""population"":""8535519""}",,,,,
1808500,CONT_AWD_0047_9700_HTC71107D0021_9700,0047,contract,C,DO,0047,,,2410000.00,CARGO,2410000.00,0.00,0.00,2018-02-03 18:54:06.983782+00,FEDERAL EXPRESS CORPORATION,153718502,be0956d5-1fcf-36fa-a834-4523c8acdb82,"{""name"":""FEDERAL EXPRESS CORPORATION"",""unique_id"":""153718502"",""hash"":""be0956d5-1fcf-36fa-a834-4523c8acdb82"",""levels"":""{C}""}",003141970,"{category_business,other_than_small_business}",2008-02-13,2008,2008-02-13,2007-10-10,2007-10-14,2007-10-10,,0.00,0.00,1212,1212,Department of Defense,Department of Defense,USTRANSCOM,USTRANSCOM,097,097,9776,9776,"{""name"":""Department of Defense"",""code"":""097"",""id"":""1173""}","{""name"":""USTRANSCOM"",""code"":""9776"",""id"":""1173""}",USA,UNITED STATES,TN,,,09,,MEMPHIS,USA,UNITED STATES,TN,157,SHELBY,38118,09,MEMPHIS,,,,,,J,A,NONE,V121,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: AIR CHARTER,481212,NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION,,"{""country_code"":""USA"",""state_code"":""TN"",""state_fips"":""47"",""congressional_code"":""09"",""population"":""712723""}","{""country_code"":""USA"",""state_code"":""TN"",""state_name"":""Tennessee"",""population"":""6829174""}","{""country_code"":""USA"",""state_code"":""TN"",""state_fips"":""47"",""county_code"":""157"",""county_name"":""SHELBY"",""population"":""937166""}","{""country_code"":""USA"",""state_code"":""TN"",""state_fips"":""47"",""congressional_code"":""09"",""population"":""712723""}","{""country_code"":""USA"",""state_code"":""TN"",""state_name"":""Tennessee"",""population"":""6829174""}",,,,,
3208500,CONT_AWD_0246_9700_SP070098D4002_9700,0246,contract,C,DO,0246,,,2266677.00,200509!001208!5700!FA4600!55CONS/CC                       !SP070098D4002  !A!N! !N!0246         !      !20050607!20080607!006928857!006928857!006928857!N!BOOZ ALLEN HAMILTON INC       !8283 GREENSBORO DRIVE     !MCLEAN              !VA!22102!48376!059!51!MCLEAN              !FAIRFAX               !VIRGINIA  !+000000068160!N!N!000000000000!AZ12!RDTE/OTHER RESEARCH & DEVELOPMENT-APPLIED RESEARC !C9E!ALL OTHER SUPPLIES AND EQUIPMENT    !000 !*                             !541710!E! !5!A!S! ! ! !20200930!B! ! !N!Z!A!U!U!2!002!N!6A!Z!Y!Z! !  !N!C!N! ! ! !C!C!A!A!000!A!C!N! ! ! ! !    !      !0001! !,2266677.00,0.00,0.00,2020-05-15 00:18:19.496419+00,BOOZ ALLEN HAMILTON INC.,006928857,c3f8842e-76e7-3193-5a3b-1a30b91ae5a2,"{""name"":""BOOZ ALLEN HAMILTON INC."",""unique_id"":""006928857"",""hash"":""c3f8842e-76e7-3193-5a3b-1a30b91ae5a2"",""levels"":""{C}""}",964725688,"{category_business,other_than_small_business}",2008-04-21,2008,2009-09-22,2005-06-07,2009-06-08,2005-06-07,,0.00,0.00,1196,1173,Department of Defense,Department of Defense,Department of the Air Force,Department of Defense,097,097,5700,9700,"{""name"":""Department of Defense"",""code"":""097"",""id"":""1173""}","{""name"":""Department of Defense"",""code"":""9700"",""id"":""1173""}",USA,UNITED STATES,VA,,,08,,MC LEAN,USA,UNITED STATES,VA,059,FAIRFAX,22102,08,MC LEAN,,,,,,U,A,NONE,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),811310,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,,"{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""congressional_code"":""08"",""population"":""795467""}","{""country_code"":""USA"",""state_code"":""VA"",""state_name"":""Virginia"",""population"":""8535519""}","{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""county_code"":""059"",""county_name"":""FAIRFAX"",""population"":""1147532""}","{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""congressional_code"":""08"",""population"":""795467""}","{""country_code"":""USA"",""state_code"":""VA"",""state_name"":""Virginia"",""population"":""8535519""}",,,,,
841500,CONT_AWD_0009_9700_N4002507D7012_9700,0009,contract,C,DO,0009,,,2138741.00,MK V 973/974,2138741.00,0.00,0.00,2018-02-03 18:54:06.983782+00,"FAIRLEAD BOATWORKS, INC.",009819913,c6e193eb-420b-83e2-223f-7a8d85df117d,"{""name"":""FAIRLEAD BOATWORKS, INC."",""unique_id"":""009819913"",""hash"":""c6e193eb-420b-83e2-223f-7a8d85df117d"",""levels"":""{C}""}",009819913,"{category_business,emerging_small_business,small_business,special_designations,veteran_owned_business,woman_owned_business}",2008-04-29,2008,2008-04-29,2007-08-23,2008-01-30,2007-08-30,,0.00,0.00,1174,1174,Department of Defense,Department of Defense,Department of the Navy,Department of the Navy,097,097,1700,1700,"{""name"":""Department of Defense"",""code"":""097"",""id"":""1173""}","{""name"":""Department of the Navy"",""code"":""1700"",""id"":""1173""}",USA,UNITED STATES,VA,,,03,,NEWPORT NEWS,USA,UNITED STATES,VA,700,NEWPORT NEWS (CITY),23607,03,NEWPORT NEWS,,,,,,J,A,NONE,J998,NON-NUCLEAR SHIP REPAIR (EAST),336611,SHIP BUILDING AND REPAIRING,,"{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""congressional_code"":""03"",""population"":""744804""}","{""country_code"":""USA"",""state_code"":""VA"",""state_name"":""Virginia"",""population"":""8535519""}","{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""county_code"":""700"",""county_name"":""NEWPORT NEWS (CITY)"",""population"":""179225""}","{""country_code"":""USA"",""state_code"":""VA"",""state_fips"":""51"",""congressional_code"":""03"",""population"":""744804""}","{""country_code"":""USA"",""state_code"":""VA"",""state_name"":""Virginia"",""population"":""8535519""}",,,,,
