PSC CODE,length,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INCLUDES
10,2,WEAPONS,1979-10-01,,,,"This group includes combat weapons as well as weapon-like noncombat items, such as line throwing devices and pyrotechnic pistols.  Also included in this group are weapon neutralizing equipment, such as degaussers, and deception equipment, such as camouflage nets.  Excluded from this group are fire control and night devices classifiable in groups 12 or 58.",
1005,4,"GUNS, THROUGH 30MM",2011-10-01,,"Guns, through 30 mm","Turrets, Aircraft.",,"Machine guns; Brushes, Machine Gun and Pistol."
1010,4,"GUNS, OVER 30MM UP TO 75MM",2011-10-01,,"Guns, over 30 mm up to 75 mm",,,"Breech Mechanisms; Mounts Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic-Firing."
1015,4,"GUNS, 75MM THROUGH 125MM",2011-10-01,,"Guns, 75 mm through 125 mm",,,Breech Mechanisms; Mounts; Rammers.
1020,4,"GUNS, OVER 125MM THROUGH 150MM",2011-10-01,,"Guns, over 125 mm through 150 mm Includes Breech Mechanisms, Power Drives; Gun Shields.",,,"Includes Breech Mechanisms, Power Drives; Gun Shields."
1025,4,"GUNS, OVER 150MM THROUGH 200MM",2011-10-01,,"Guns, over 150 mm through 200 mm Includes Firing Platforms; Mounts; Gun Shields.",,,[Firing Platforms; Mounts; Gun Shields.]
1030,4,"GUNS, OVER 200MM THROUGH 300MM",2011-10-01,,"Guns, over 200 mm through 300 mm Includes Gun Yokes; Rammers; Reflectors.",,,Includes Gun Yokes; Rammers; Reflectors.
1035,4,"GUNS, OVER 300MM",2011-10-01,,"Guns, over 300 mm",,,Breech Mechanisms; Training Gears; Power Drives.
1040,4,CHEMICAL WEAPONS AND EQUIPMENT,1978-10-15,,Chemical Weapons and Equipment,,,Flame Throwers; Smoke Generators.
1045,4,"LAUNCHERS, TORPEDO AND DEPTH CHARGE",1978-10-15,,"Launchers, Torpedo and Depth Charge",,,Depth Charge Tracks; Torpedo Tubes.
1055,4,"LAUNCHERS, ROCKET AND PYROTECHNIC",1978-10-15,,"Launchers, Rocket and Pyrotechnic","Specifically designed Airborne Guided Missile  Launchers; Jettisonable Rocket Launchers; Launcher Fairings designed for specific airframes; Rifle Grenade Launchers; Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto Loading or Automatic Firing.",,Airborne Rocket Launchers adaptable to guided missile use.
1070,4,"NETS AND BOOMS, ORDNANCE",1978-12-15,,"Nets and Booms, Ordnance",,This class includes nets and booms for harbor  defense only.,
1075,4,DEGAUSSING AND MINE SWEEPING EQUIPMENT,2011-10-01,,Degaussing and Mine Sweeping Equipment,,,
1080,4,CAMOUFLAGE AND DECEPTION EQUIPMENT,1978-10-15,,Camouflage and Deception Equipment,,,"Dummy Artillery, Aircraft and Vehicles; Garnished Nets."
1090,4,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES,2011-10-01,,Assemblies Interchangeable Between Weapons in Two or More  Classes,,,Components and Accessories used on or with weapons falling in two or more classes of [G]group 10.
1095,4,MISCELLANEOUS WEAPONS,1978-10-15,,Miscellaneous Weapons,,,"Line Throwing Guns; Catapult Guns; Bayonets; Saluting Guns; Signal Guns; Flare Guns; Barrage Balloons; Accessories, not elsewhere classifiable, for Weapons in this group; Expendable Bomb Dispensers."
11,2,NUCLEAR ORDNANCE,1979-10-01,,,,"This group includes, in particular, nuclear  ordnance training weapons, practice ballistic units, and all components specially designed therefore, when not specifically classified elsewhere.  Also included in the group are specially designed simulators and mockups, which are  integral parts of the above.  Excluded from this group  are general purpose nose cones, case sections, flare  sections or center sections designed to carry payloads  other than nuclear and/or for use on a missile, rocket,  or re-entry vehicle to attain the necessary aerodynamic  configuration.",
