2017 NAICS Code,2017 NAICS Title,
111110,Soybean Farming,
111120,Oilseed (except Soybean) Farming ,
111130,Dry Pea and Bean Farming ,
111140,Wheat Farming,
111150,Corn Farming ,
111160,Rice Farming, 
111191,Oilseed and Grain Combination Farming ,
111199,All Other Grain Farming ,
111211,Potato Farming ,
111219,Other Vegetable (except Potato) and Melon Farming ,
111310,Orange Groves,
111320,Citrus (except Orange) Groves ,
111331,Apple Orchards ,
111332,Grape Vineyards ,
111333,Strawberry Farming ,
111334,Berry (except Strawberry) Farming ,
111335,Tree Nut Farming ,
111336,Fruit and Tree Nut Combination Farming ,
111339,Other Noncitrus Fruit Farming ,
111411,Mushroom Production ,
111419,Other Food Crops Grown Under Cover ,
111421,Nursery and Tree Production ,
111422,Floriculture Production ,
111910,Tobacco Farming,
111920,Cotton Farming,
111930,Sugarcane Farming,
111940,Hay Farming ,
111991,Sugar Beet Farming ,
111992,Peanut Farming ,
111998,All Other Miscellaneous Crop Farming ,
112111,Beef Cattle Ranching and Farming ,
112112,Cattle Feedlots ,
112120,Dairy Cattle and Milk Production,
112130,Dual-Purpose Cattle Ranching and Farming ,
112210,Hog and Pig Farming ,
112310,Chicken Egg Production ,
112320,Broilers and Other Meat Type Chicken Production ,
112330,Turkey Production,
112340,Poultry Hatcheries,
112390,Other Poultry Production ,
112410,Sheep Farming,
112420,Goat Farming,
112511,Finfish Farming and Fish Hatcheries ,
112512,Shellfish Farming ,
112519,Other Aquaculture ,
112910,Apiculture,
112920,Horses and Other Equine Production,
112930,Fur-Bearing Animal and Rabbit Production,
112990,All Other Animal Production ,
113110,Timber Tract Operations,
113210,Forest Nurseries and Gathering of Forest Products ,
113310,Logging ,
114111,Finfish Fishing ,
114112,Shellfish Fishing ,
114119,Other Marine Fishing ,
114210,Hunting and Trapping,
115111,Cotton Ginning ,
115112,"Soil Preparation, Planting, and Cultivating ",
115113,"Crop Harvesting, Primarily by Machine ",
115114,Postharvest Crop Activities (except Cotton Ginning) ,
115115,Farm Labor Contractors and Crew Leaders ,
115116,Farm Management Services ,
115210,Support Activities for Animal Production,
115310,Support Activities for Forestry,
211120,Crude Petroleum Extraction ,
211130,Natural Gas Extraction ,
212111,Bituminous Coal and Lignite Surface Mining ,
212112,Bituminous Coal Underground Mining ,
212113,Anthracite Mining ,
212210,Iron Ore Mining,
212221,Gold Ore Mining ,
212222,Silver Ore Mining ,
212230,"Copper, Nickel, Lead, and Zinc Mining ",
212291,Uranium-Radium-Vanadium Ore Mining ,
212299,All Other Metal Ore Mining ,
212311,Dimension Stone Mining and Quarrying ,
212312,Crushed and Broken Limestone Mining and Quarrying ,
212313,Crushed and Broken Granite Mining and Quarrying ,
212319,Other Crushed and Broken Stone Mining and Quarrying ,
212321,Construction Sand and Gravel Mining ,
212322,Industrial Sand Mining ,
212324,Kaolin and Ball Clay Mining ,
212325,Clay and Ceramic and Refractory Minerals Mining ,
212391,"Potash, Soda, and Borate Mineral Mining ",
212392,Phosphate Rock Mining ,
212393,Other Chemical and Fertilizer Mineral Mining ,
212399,All Other Nonmetallic Mineral Mining ,
213111,Drilling Oil and Gas Wells,
213112,Support Activities for Oil and Gas Operations ,
213113,Support Activities for Coal Mining ,
213114,Support Activities for Metal Mining ,
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,
221111,Hydroelectric Power Generation ,
221112,Fossil Fuel Electric Power Generation ,
221113,Nuclear Electric Power Generation ,
221114,Solar Electric Power Generation ,
221115,Wind Electric Power Generation ,
221116,Geothermal Electric Power Generation ,
221117,Biomass Electric Power Generation ,
221118,Other Electric Power Generation ,
221121,Electric Bulk Power Transmission and Control ,
221122,Electric Power Distribution ,
221210,Natural Gas Distribution ,
221310,Water Supply and Irrigation Systems ,
221320,Sewage Treatment Facilities ,
221330,Steam and Air-Conditioning Supply ,
236115,New Single-Family Housing Construction (except For-Sale Builders) ,
236116,New Multifamily Housing Construction (except For-Sale Builders) ,
236117,New Housing For-Sale Builders ,
236118,Residential Remodelers ,
236210,Industrial Building Construction ,
236220,Commercial and Institutional Building Construction ,
237110,Water and Sewer Line and Related Structures Construction ,
237120,Oil and Gas Pipeline and Related Structures Construction ,
237130,Power and Communication Line and Related Structures Construction ,
237210,Land Subdivision ,
237310,"Highway, Street, and Bridge Construction ",
237990,Other Heavy and Civil Engineering Construction ,
238110,Poured Concrete Foundation and Structure Contractors ,
238120,Structural Steel and Precast Concrete Contractors ,
238130,Framing Contractors ,
238140,Masonry Contractors ,
238150,Glass and Glazing Contractors ,
238160,Roofing Contractors ,
238170,Siding Contractors ,
238190,"Other Foundation, Structure, and Building Exterior Contractors ",
238210,Electrical Contractors and Other Wiring Installation Contractors,
238220,"Plumbing, Heating, and Air-Conditioning Contractors ",
238290,Other Building Equipment Contractors ,
238310,Drywall and Insulation Contractors ,
238320,Painting and Wall Covering Contractors,
238330,Flooring Contractors,
238340,Tile and Terrazzo Contractors,
238350,Finish Carpentry Contractors,
238390,Other Building Finishing Contractors,
238910,Site Preparation Contractors,
238990,All Other Specialty Trade Contractors,
311111,Dog and Cat Food Manufacturing ,
311119,Other Animal Food Manufacturing ,
311211,Flour Milling ,
311212,Rice Milling ,
311213,Malt Manufacturing ,
311221,Wet Corn Milling ,
311224,Soybean and Other Oilseed Processing ,
311225,Fats and Oils Refining and Blending ,
311230,Breakfast Cereal Manufacturing,
311313,Beet Sugar Manufacturing ,
311314,Cane Sugar Manufacturing ,
311340,Nonchocolate Confectionery Manufacturing,
311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,
311352,Confectionery Manufacturing from Purchased Chocolate ,
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",
311412,Frozen Specialty Food Manufacturing ,
311421,Fruit and Vegetable Canning ,
311422,Specialty Canning ,
311423,Dried and Dehydrated Food Manufacturing ,
311511,Fluid Milk Manufacturing ,
311512,Creamery Butter Manufacturing ,
311513,Cheese Manufacturing ,
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",
311520,Ice Cream and Frozen Dessert Manufacturing,
311611,Animal (except Poultry) Slaughtering ,
311612,Meat Processed from Carcasses ,
311613,Rendering and Meat Byproduct Processing ,
311615,Poultry Processing ,
311710,Seafood Product Preparation and Packaging,
311811,Retail Bakeries ,
311812,Commercial Bakeries ,
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",
311821,Cookie and Cracker Manufacturing ,
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",
311830,Tortilla Manufacturing,
311911,Roasted Nuts and Peanut Butter Manufacturing ,
311919,Other Snack Food Manufacturing ,
311920,Coffee and Tea Manufacturing ,
311930,Flavoring Syrup and Concentrate Manufacturing,
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",
311942,Spice and Extract Manufacturing ,
311991,Perishable Prepared Food Manufacturing ,
311999,All Other Miscellaneous Food Manufacturing ,
312111,Soft Drink Manufacturing ,
312112,Bottled Water Manufacturing ,
312113,Ice Manufacturing ,
312120,Breweries,
312130,Wineries ,
312140,Distilleries ,
312230,Tobacco Manufacturing ,
313110,"Fiber, Yarn, and Thread Mills ",
313210,Broadwoven Fabric Mills,
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,
313230,Nonwoven Fabric Mills,
313240,Knit Fabric Mills,
313310,Textile and Fabric Finishing Mills ,
313320,Fabric Coating Mills,
314110,Carpet and Rug Mills,
314120,Curtain and Linen Mills,
314910,Textile Bag and Canvas Mills ,
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",
314999,All Other Miscellaneous Textile Product Mills ,
315110,Hosiery and Sock Mills,
315190,Other Apparel Knitting Mills ,
315210,Cut and Sew Apparel Contractors ,
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing ,
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing ",
315280,Other Cut and Sew Apparel Manufacturing ,
315990,Apparel Accessories and Other Apparel Manufacturing ,
316110,Leather and Hide Tanning and Finishing,
316210,Footwear Manufacturing ,
316992,Women's Handbag and Purse Manufacturing ,
316998,All Other Leather Good and Allied Product Manufacturing ,
321113,Sawmills ,
321114,Wood Preservation ,
321211,Hardwood Veneer and Plywood Manufacturing ,
321212,Softwood Veneer and Plywood Manufacturing ,
321213,Engineered Wood Member (except Truss) Manufacturing ,
321214,Truss Manufacturing ,
321219,Reconstituted Wood Product Manufacturing ,
321911,Wood Window and Door Manufacturing ,
321912,"Cut Stock, Resawing Lumber, and Planing ",
321918,Other Millwork (including Flooring) ,
321920,Wood Container and Pallet Manufacturing,
321991,Manufactured Home (Mobile Home) Manufacturing ,
321992,Prefabricated Wood Building Manufacturing ,
321999,All Other Miscellaneous Wood Product Manufacturing ,
322110,Pulp Mills ,
322121,Paper (except Newsprint) Mills ,
322122,Newsprint Mills ,
322130,Paperboard Mills ,
322211,Corrugated and Solid Fiber Box Manufacturing ,
322212,Folding Paperboard Box Manufacturing ,
322219,Other Paperboard Container Manufacturing ,
322220,Paper Bag and Coated and Treated Paper Manufacturing,
322230,Stationery Product Manufacturing,
322291,Sanitary Paper Product Manufacturing ,
322299,All Other Converted Paper Product Manufacturing ,
323111,Commercial Printing (except Screen and Books) ,
323113,Commercial Screen Printing ,
323117,Books Printing ,
323120,Support Activities for Printing,
324110,Petroleum Refineries,
324121,Asphalt Paving Mixture and Block Manufacturing ,
324122,Asphalt Shingle and Coating Materials Manufacturing ,
324191,Petroleum Lubricating Oil and Grease Manufacturing ,
324199,All Other Petroleum and Coal Products Manufacturing ,
325110,Petrochemical Manufacturing,
325120,Industrial Gas Manufacturing,
325130,Synthetic Dye and Pigment Manufacturing,
325180,Other Basic Inorganic Chemical Manufacturing ,
325193,Ethyl Alcohol Manufacturing ,
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",
325199,All Other Basic Organic Chemical Manufacturing ,
325211,Plastics Material and Resin Manufacturing ,
325212,Synthetic Rubber Manufacturing ,
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,
325311,Nitrogenous Fertilizer Manufacturing ,
325312,Phosphatic Fertilizer Manufacturing ,
325314,Fertilizer (Mixing Only) Manufacturing ,
325320,Pesticide and Other Agricultural Chemical Manufacturing,
325411,Medicinal and Botanical Manufacturing ,
325412,Pharmaceutical Preparation Manufacturing ,
325413,In-Vitro Diagnostic Substance Manufacturing ,
325414,Biological Product (except Diagnostic) Manufacturing ,
325510,Paint and Coating Manufacturing,
325520,Adhesive Manufacturing,
325611,Soap and Other Detergent Manufacturing ,
325612,Polish and Other Sanitation Good Manufacturing ,
325613,Surface Active Agent Manufacturing ,
325620,Toilet Preparation Manufacturing,
325910,Printing Ink Manufacturing,
325920,Explosives Manufacturing,
325991,Custom Compounding of Purchased Resins ,
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing ",
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,
326111,Plastics Bag and Pouch Manufacturing ,
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,
326121,Unlaminated Plastics Profile Shape Manufacturing ,
326122,Plastics Pipe and Pipe Fitting Manufacturing ,
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",
326140,Polystyrene Foam Product Manufacturing,
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,
326160,Plastics Bottle Manufacturing,
326191,Plastics Plumbing Fixture Manufacturing ,
326199,All Other Plastics Product Manufacturing ,
326211,Tire Manufacturing (except Retreading) ,
326212,Tire Retreading ,
326220,Rubber and Plastics Hoses and Belting Manufacturing,
326291,Rubber Product Manufacturing for Mechanical Use ,
326299,All Other Rubber Product Manufacturing ,
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",
327120,Clay Building Material and Refractories Manufacturing ,
327211,Flat Glass Manufacturing ,
327212,Other Pressed and Blown Glass and Glassware Manufacturing ,
327213,Glass Container Manufacturing ,
327215,Glass Product Manufacturing Made of Purchased Glass ,
327310,Cement Manufacturing,
327320,Ready-Mix Concrete Manufacturing,
327331,Concrete Block and Brick Manufacturing ,
327332,Concrete Pipe Manufacturing ,
327390,Other Concrete Product Manufacturing ,
327410,Lime Manufacturing,
327420,Gypsum Product Manufacturing,
327910,Abrasive Product Manufacturing,
327991,Cut Stone and Stone Product Manufacturing ,
327992,Ground or Treated Mineral and Earth Manufacturing ,
327993,Mineral Wool Manufacturing ,
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,
331110,Iron and Steel Mills and Ferroalloy Manufacturing ,
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,
331221,Rolled Steel Shape Manufacturing ,
331222,Steel Wire Drawing ,
331313,Alumina Refining and Primary Aluminum Production ,
331314,Secondary Smelting and Alloying of Aluminum ,
331315,"Aluminum Sheet, Plate, and Foil Manufacturing ",
331318,"Other Aluminum Rolling, Drawing, and Extruding ",
331410,Nonferrous Metal (except Aluminum) Smelting and Refining ,
331420,"Copper Rolling, Drawing, Extruding, and Alloying",
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",
331511,Iron Foundries ,
331512,Steel Investment Foundries ,
331513,Steel Foundries (except Investment) ,
331523,Nonferrous Metal Die-Casting Foundries ,
331524,Aluminum Foundries (except Die-Casting) ,
331529,Other Nonferrous Metal Foundries (except Die-Casting) ,
332111,Iron and Steel Forging ,
332112,Nonferrous Forging ,
332114,Custom Roll Forming ,
332117,Powder Metallurgy Part Manufacturing ,
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",
332216,Saw Blade and Handtool Manufacturing ,
332311,Prefabricated Metal Building and Component Manufacturing ,
332312,Fabricated Structural Metal Manufacturing ,
332313,Plate Work Manufacturing ,
332321,Metal Window and Door Manufacturing ,
332322,Sheet Metal Work Manufacturing ,
332323,Ornamental and Architectural Metal Work Manufacturing ,
332410,Power Boiler and Heat Exchanger Manufacturing,
332420,Metal Tank (Heavy Gauge) Manufacturing,
332431,Metal Can Manufacturing ,
332439,Other Metal Container Manufacturing ,
332510,Hardware Manufacturing,
332613,Spring Manufacturing ,
332618,Other Fabricated Wire Product Manufacturing ,
332710,Machine Shops,
332721,Precision Turned Product Manufacturing ,
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",
332811,Metal Heat Treating ,
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",
332911,Industrial Valve Manufacturing ,
332912,Fluid Power Valve and Hose Fitting Manufacturing ,
332913,Plumbing Fixture Fitting and Trim Manufacturing ,
332919,Other Metal Valve and Pipe Fitting Manufacturing ,
332991,Ball and Roller Bearing Manufacturing,
332992,Small Arms Ammunition Manufacturing ,
332993,Ammunition (except Small Arms) Manufacturing ,
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",
332996,Fabricated Pipe and Pipe Fitting Manufacturing ,
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,
333111,Farm Machinery and Equipment Manufacturing ,
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing ,
333120,Construction Machinery Manufacturing,
333131,Mining Machinery and Equipment Manufacturing ,
333132,Oil and Gas Field Machinery and Equipment Manufacturing ,
333241,Food Product Machinery Manufacturing ,
333242,Semiconductor Machinery Manufacturing ,
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",
333244,Printing Machinery and Equipment Manufacturing ,
333249,Other Industrial Machinery Manufacturing ,
333314,Optical Instrument and Lens Manufacturing ,
333316,Photographic and Photocopying Equipment Manufacturing ,
333318,Other Commercial and Service Industry Machinery Manufacturing ,
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,
333511,Industrial Mold Manufacturing ,
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",
333515,Cutting Tool and Machine Tool Accessory Manufacturing ,
333517,Machine Tool Manufacturing ,
333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,
333611,Turbine and Turbine Generator Set Units Manufacturing ,
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",
333613,Mechanical Power Transmission Equipment Manufacturing ,
333618,Other Engine Equipment Manufacturing ,
333912,Air and Gas Compressor Manufacturing ,
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",
333921,Elevator and Moving Stairway Manufacturing ,
333922,Conveyor and Conveying Equipment Manufacturing ,
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",
333991,Power-Driven Handtool Manufacturing ,
333992,Welding and Soldering Equipment Manufacturing ,
333993,Packaging Machinery Manufacturing ,
333994,Industrial Process Furnace and Oven Manufacturing ,
333995,Fluid Power Cylinder and Actuator Manufacturing ,
333996,Fluid Power Pump and Motor Manufacturing ,
333997,Scale and Balance Manufacturing ,
333999,All Other Miscellaneous General Purpose Machinery Manufacturing ,
334111,Electronic Computer Manufacturing ,
334112,Computer Storage Device Manufacturing ,
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,
334210,Telephone Apparatus Manufacturing,
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,
334290,Other Communications Equipment Manufacturing,
334310,Audio and Video Equipment Manufacturing,
334412,Bare Printed Circuit Board Manufacturing  ,
334413,Semiconductor and Related Device Manufacturing ,
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",
334417,Electronic Connector Manufacturing ,
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,
334419,Other Electronic Component Manufacturing ,
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing ,
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",
334514,Totalizing Fluid Meter and Counting Device Manufacturing ,
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,
334516,Analytical Laboratory Instrument Manufacturing ,
334517,Irradiation Apparatus Manufacturing ,
334519,Other Measuring and Controlling Device Manufacturing ,
334613,Blank Magnetic and Optical Recording Media Manufacturing ,
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",
335110,Electric Lamp Bulb and Part Manufacturing,
335121,Residential Electric Lighting Fixture Manufacturing ,
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",
335129,Other Lighting Equipment Manufacturing ,
335210,Small Electrical Appliance Manufacturing,
335220,Major Household Appliance Manufacturing ,
335311,"Power, Distribution, and Specialty Transformer Manufacturing ",
335312,Motor and Generator Manufacturing ,
335313,Switchgear and Switchboard Apparatus Manufacturing ,
335314,Relay and Industrial Control Manufacturing ,
335911,Storage Battery Manufacturing ,
335912,Primary Battery Manufacturing ,
335921,Fiber Optic Cable Manufacturing ,
335929,Other Communication and Energy Wire Manufacturing ,
335931,Current-Carrying Wiring Device Manufacturing ,
335932,Noncurrent-Carrying Wiring Device Manufacturing ,
335991,Carbon and Graphite Product Manufacturing ,
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,
336111,Automobile Manufacturing ,
336112,Light Truck and Utility Vehicle Manufacturing ,
336120,Heavy Duty Truck Manufacturing,
336211,Motor Vehicle Body Manufacturing ,
