PSC CODE,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INICLUDES
10,WEAPONS,10/1/79,,,,"This group includes combat weapons as well as weapon-like noncombat items, such as line throwing devices and pyrotechnic pistols.  Also included in this group are weapon neutralizing equipment, such as degaussers, and deception equipment, such as camouflage nets.  Excluded from this group are fire control and night devices classifiable in groups 12 or 58.",
1000,,12/12/03,10/1/06,,,,
1005,"GUNS, THROUGH 30MM",10/1/11,,"Guns, through 30 mm","Turrets, Aircraft.",,"Machine guns; Brushes, Machine Gun and Pistol."
1010,"GUNS, OVER 30MM UP TO 75MM",10/1/11,,"Guns, over 30 mm up to 75 mm",,,"Breech Mechanisms; Mounts Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic-Firing."
1015,"GUNS, 75MM THROUGH 125MM",10/1/11,,"Guns, 75 mm through 125 mm",,,Breech Mechanisms; Mounts; Rammers.
1020,"GUNS, OVER 125MM THROUGH 150MM",10/1/11,,"Guns, over 125 mm through 150 mm Includes Breech Mechanisms, Power Drives; Gun Shields.",,,
1025,"GUNS, OVER 150MM THROUGH 200MM",10/1/11,,"Guns, over 150 mm through 200 mm Includes Firing Platforms; Mounts; Gun Shields.",,,
1030,"GUNS, OVER 200MM THROUGH 300MM",10/1/11,,"Guns, over 200 mm through 300 mm Includes Gun Yokes; Rammers; Reflectors.",,,
1035,"GUNS, OVER 300MM",10/1/11,,"Guns, over 300 mm",,,Breech Mechanisms; Training Gears; Power Drives.
1040,CHEMICAL WEAPONS AND EQUIPMENT,10/15/78,,Chemical Weapons and Equipment,,,Flame Throwers; Smoke Generators.
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE",10/15/78,,"Launchers, Torpedo and Depth Charge",,,Depth Charge Tracks; Torpedo Tubes.
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC",10/15/78,,"Launchers, Rocket and Pyrotechnic","Specifically designed Airborne Guided Missile  Launchers; Jettisonable Rocket Launchers; Launcher Fairings designed for specific airframes; Rifle Grenade Launchers; Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto Loading or Automatic Firing.",,Airborne Rocket Launchers adaptable to guided missile use.
1070,"NETS AND BOOMS, ORDNANCE",12/15/78,,"Nets and Booms, Ordnance",,This class includes nets and booms for harbor  defense only.,
1075,DEGAUSSING AND MINE SWEEPING EQUIPMENT,10/1/11,,Degaussing and Mine Sweeping Equipment,,,
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT,10/15/78,,Camouflage and Deception Equipment,,,"Dummy Artillery, Aircraft and Vehicles; Garnished Nets."
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES,10/1/11,,Assemblies Interchangeable Between Weapons in Two or More  Classes,,,Components and Accessories used on or with weapons falling in two or more classes of group 10.
1095,MISCELLANEOUS WEAPONS,10/15/78,,Miscellaneous Weapons,,,"Line Throwing Guns; Catapult Guns; Bayonets; Saluting Guns; Signal Guns; Flare Guns; Barrage Balloons; Accessories, not elsewhere classifiable, for Weapons in this group; Expendable Bomb Dispensers."
