ACCT_NUM,ATA,AID,BPOA,EPOA,A,MAIN,SUB,GWA_TAS,GWA_TAS NAME,Agency AID,Agency Name,ADMIN_ORG,Admin Org Name,FR Entity Type Code,FR Entity Description,Financial Indicator Type 2,FIN IND Type 2 Description,Function Code,Function Description,Sub Function Code,Sub Function Description
45736, ,000,2011,2011, ,0100,000,00110100,"Compensation of Members and Related Administrative Expenses, Senat",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53021, ,000,2012,2012, ,0100,000,00120100,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56001, ,000,2013,2013, ,0100,000,00130100,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59600, ,000,2014,2014, ,0100,000,00140100,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62697, ,000,2015,2015, ,0100,000,00150100,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65987, ,000,2016,2016, ,0100,000,00160100,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69807, ,000,2017,2017, ,0100,000,00170100,"Compensation of Members and Related Administrative Expenses, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
7, ,000, , ,X,0102,000,00X0102,"Compensation and Mileage of the Vice President and Senators, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
8, ,000, , ,X,0107,000,00X0107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45737, ,000,2011,2011, ,0107,000,00110107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
